Component,Quantile,F-Value,P-Value
CPU,Second Quantile,4.173228866240519,6.255287591105532e-14
CPU,Third Quantile,3.7440288253058935,6.031471769796489e-12
CPU,First Quantile,2.205006503816578,1.4644209520500036e-06
Disk,First Quantile,0.7652384438701886,0.820236884472789
Disk,Second Quantile,3.8249632508982065,2.879137068884334e-05
Disk,Third Quantile,2.968931031016484,0.00036825199568241417
GPU,Third Quantile,34.05910268110971,0.028919211870470828
GPU,Second Quantile,38.20353650199287,0.005793767313974805
GPU,First Quantile,15.716030640073352,0.007675424206217773
Memory,First Quantile,3.5685437893070566,5.876313115015973e-12
Memory,Second Quantile,5.955214655368696,1.5790991128187174e-21
Memory,Third Quantile,1.4729359463307525,0.014406148021180315
