"start_year","start_quantile","chosen_components","optimal_t_upgrade","optimal_extended_period"
2014,"First Quantile",c("CPU"; "GPU"),3.57463383961041,18.9
2014,"First Quantile",c("CPU"; "Disk"),3.00005446707491,10.5
2014,"First Quantile",c("CPU"; "Memory"),3.1322590050105,10.3
2014,"First Quantile",c("GPU"; "Disk"),2.20358874723559,6.59999999999999
2014,"First Quantile",c("GPU"; "Memory"),2.07131284083007,6.59999999999999
2014,"First Quantile",c("Disk"; "Memory"),2.5,5.1
2014,"Second Quantile",c("CPU"; "GPU"),1.87995803907535,7.89999999999999
2014,"Second Quantile",c("CPU"; "Disk"),4.17740642460487,17.9
2014,"Second Quantile",c("CPU"; "Memory"),3.06702858503315,7.89999999999999
2014,"Second Quantile",c("GPU"; "Disk"),1.26536430356438,7.59999999999999
2014,"Second Quantile",c("GPU"; "Memory"),1.19215859581142,5.3
2014,"Second Quantile",c("Disk"; "Memory"),1.34933041840937,7.29999999999999
2014,"Third Quantile",c("CPU"; "GPU"),4.37606597956876,13.2
2014,"Third Quantile",c("CPU"; "Disk"),4.07703300434115,11.7
2014,"Third Quantile",c("CPU"; "Memory"),3.16007193943212,9.89999999999998
2014,"Third Quantile",c("GPU"; "Disk"),3.16417249166174,5.9
2014,"Third Quantile",c("GPU"; "Memory"),3.01941288866298,5.9
2014,"Third Quantile",c("Disk"; "Memory"),0.700530517819203,5.3
2015,"First Quantile",c("CPU"; "GPU"),4.46406074992331,23.5000000000001
2015,"First Quantile",c("CPU"; "Disk"),2.39176766879333,8.89999999999999
2015,"First Quantile",c("CPU"; "Memory"),2.59503715690468,8.69999999999999
2015,"First Quantile",c("GPU"; "Disk"),1.0195807284676,7.69999999999999
2015,"First Quantile",c("GPU"; "Memory"),1.33477215851133,7.49999999999999
2015,"First Quantile",c("Disk"; "Memory"),2.5,5.1
2015,"Second Quantile",c("CPU"; "GPU"),4.08369558826344,12.4
2015,"Second Quantile",c("CPU"; "Disk"),4.19538087949323,14
2015,"Second Quantile",c("CPU"; "Memory"),4.07431235196122,9.99999999999998
2015,"Second Quantile",c("GPU"; "Disk"),0.900706520131097,5.5
2015,"Second Quantile",c("GPU"; "Memory"),1.84018419760346,5.3
2015,"Second Quantile",c("Disk"; "Memory"),2.5,5.3
2015,"Third Quantile",c("CPU"; "GPU"),2.15978797428029,8.49999999999999
2015,"Third Quantile",c("CPU"; "Disk"),4.23948798239332,20.9
2015,"Third Quantile",c("CPU"; "Memory"),2.12123859721161,7.09999999999999
2015,"Third Quantile",c("GPU"; "Disk"),2.15089927237536,10.9
2015,"Third Quantile",c("GPU"; "Memory"),2.5,5.9
2015,"Third Quantile",c("Disk"; "Memory"),2.20436938893628,8.89999999999999
2016,"First Quantile",c("CPU"; "GPU"),3.96720633601675,19.7
2016,"First Quantile",c("CPU"; "Disk"),3.07010262442603,14.9
2016,"First Quantile",c("CPU"; "Memory"),3.08954893290807,14.1
2016,"First Quantile",c("GPU"; "Disk"),3.24851524136613,5.5
2016,"First Quantile",c("GPU"; "Memory"),3.06930980663074,5.5
2016,"First Quantile",c("Disk"; "Memory"),2.5,5.2
2016,"Second Quantile",c("CPU";"GPU"),3.05109809537507,11.3
2016,"Second Quantile",c("CPU"; "Disk"),4.12362429453223,18.1
2016,"Second Quantile",c("CPU"; "Memory"),3.28161006904683,9.49999999999998
2016,"Second Quantile",c("GPU"; "Disk"),3.07708607591613,6.49999999999999
2016,"Second Quantile",c("GPU"; "Memory"),3.95255955782101,5.3
2016,"Second Quantile",c("Disk"; "Memory"),2.11088917631389,6.1
2016,"Third Quantile",c("CPU"; "GPU"),2.0499231019681,8.49999999999999
2016,"Third Quantile",c("CPU"; "Disk"),4.16757462264157,20.5
2016,"Third Quantile",c("CPU"; "Memory"),2.06601102259452,7.09999999999999
2016,"Third Quantile",c("GPU"; "Disk"),2.22672205996721,11.1
2016,"Third Quantile",c("GPU"; "Memory"),1.02941519769848,6.1
2016,"Third Quantile",c("Disk"; "Memory"),3.01774399716427,9.49999999999998
2017,"First Quantile",c("CPU"; "GPU"),4.79683783479826,14.6
2017,"First Quantile",c("CPU"; "Disk"),2.5,9.69999999999998
2017,"First Quantile",c("CPU"; "Memory"),2.5,8.89999999999999
2017,"First Quantile",c("GPU"; "Disk"),2.05598987934509,6.89999999999999
2017,"First Quantile",c("GPU"; "Memory"),2.16039439792965,6.4
2017,"First Quantile",c("Disk"; "Memory"),2.5,5.3
2017,"Second Quantile",c("CPU"; "GPU"),3.03213187013089,16.6
2017,"Second Quantile",c("CPU"; "Disk"),3.02962457969039,10.2
2017,"Second Quantile",c("CPU"; "Memory"),2.09218786717866,8.09999999999999
2017,"Second Quantile",c("GPU"; "Disk"),2.07031688081652,9.69999999999998
2017,"Second Quantile",c("GPU"; "Memory"),2.21183605465341,8.29999999999999
2017,"Second Quantile",c("Disk"; "Memory"),2.5,5.7
2017,"Third Quantile",c("CPU"; "GPU"),3.0698548094058,7.69999999999999
2017,"Third Quantile",c("CPU"; "Disk"),4.2688694142314,13.9
2017,"Third Quantile",c("CPU"; "Memory"),2.5,6.89999999999999
2017,"Third Quantile",c("GPU"; "Disk"),3.17133635875025,8.69999999999999
2017,"Third Quantile",c("GPU"; "Memory"),1.30960067127151,5.7
2017,"Third Quantile",c("Disk"; "Memory"),2.0601615482531,8.09999999999999
